,Zip_code,predicted_aug_value,actual_aug_value,difference,count_groceries,crime_score,business_score,school_score,population,# of schools,# stores,total store sqft,# crimes,# violent crimes
0,60601,363791.768881249,379598.3846,15806.615718751298,1.0412559328222,0.0126323475721066,7.28733114275283,0.0,13695,0.0,3,14260,61.0,33.0
1,60603,1003716.9847488,1018808.0,15091.015251198998,0.0,18.6433430515063,68.7074829931973,0.0,1029,0.0,0,0,6468.0,3479.0
2,60605,492907.48692453,639286.8372,146379.35027547,2.3746760320024,0.23742628554257603,2.4152048980205096,4.0,26623,1.0,2,63221,2121.0,1312.0
3,60606,795648.7188212541,360183.5,-435465.218821254,0.0,0.4417137163732979,31.3517103952175,0.0,3011,0.0,0,0,463.0,272.0
4,60607,557157.245738719,549911.4756,-7245.7701387192,3.4291856080628698,0.0724178031504387,3.81999506642704,3.3333333333333304,28377,6.0,4,97310,735.0,515.0
5,60608,465405.911907751,299890.9605,-165514.951407751,3.3533276975099904,0.157559688492673,0.920944768931243,2.7407407407407405,78072,27.0,17,261801,4063.0,2389.0
6,60609,446732.04089855205,196870.7893,-249861.251598552,3.57934136546185,0.12746987951807198,0.565461847389558,2.1481481481481497,62250,27.0,17,222814,2749.0,1877.0
7,60610,609892.12376586,1283388.7920000001,673496.66823414,5.22763931526094,0.160336125708934,2.2061501639003103,3.125,38438,8.0,11,200940,2118.0,1495.0
8,60611,404624.148277069,1138378.4,733754.2517229309,2.46605202293825,0.0569654342109432,5.59832715521338,0.0,31563,0.0,5,77836,694.0,416.0
9,60612,278281.227456318,371827.7181,93546.4906436817,0.5901178323349929,0.22149104305520398,0.635563429792739,2.04,35559,25.0,4,20984,2741.0,1850.0
10,60613,489939.33089735295,829334.9023,339395.571402647,2.96209535733759,0.0791615339566631,1.35301601405521,3.5714285714285694,49519,7.0,9,146680,1381.0,886.0
11,60614,445524.27269110206,1317750.825,872226.552308898,1.95922196599682,0.254236074308549,1.81760889181718,3.71428571428571,69817,7.0,10,136787,5736.0,3398.0
12,60615,320786.558745144,614356.7961,293570.23735485604,1.04446431676479,0.103286384976526,0.7303077725612941,2.3333333333333304,40257,9.0,4,42047,1426.0,845.0
13,60616,413647.29560876795,408565.5405,-5081.75510876792,2.30199695701788,0.30456447318372,1.62989729935337,2.625,52580,16.0,8,121039,5343.0,2999.0
14,60617,412949.508003249,116862.2148,-296087.293203249,2.58174795630109,0.0442613934651634,0.539986500337492,2.59259259259259,80002,27.0,14,206545,1229.0,693.0
15,60618,442433.77396714705,591765.4717,149331.697732853,2.69457922034465,0.14519198594612698,1.1084155931069097,2.94736842105263,95632,19.0,17,257688,4607.0,2679.0
16,60619,340302.645320013,127651.7811,-212650.864220013,1.4419630065900502,0.307965362452644,0.55553786889943,2.52631578947368,62822,19.0,9,90587,6373.0,3671.0
17,60620,451707.461058426,120438.7686,-331268.692458426,3.4877559560744,0.332140434926911,0.473311303193408,2.59090909090909,69299,22.0,15,241698,7667.0,4416.0
18,60621,277189.710955685,90338.09804,-186851.612915685,0.889334990281363,0.204760539145397,0.10515247108307,1.875,31383,16.0,4,27910,2137.0,1326.0
19,60622,447094.326153863,700169.0097,253074.683546137,2.79314080085189,0.132612407512806,1.9424605724567199,2.5,54467,16.0,12,152134,2434.0,1469.0
20,60623,350912.228674151,166247.1564,-184665.07227415103,1.6918887640831899,0.229858061880935,0.489011425394556,2.42857142857143,88137,35.0,22,149118,6670.0,3441.0
21,60624,312918.329074209,181371.1301,-131547.198974209,1.05850422195416,0.0337756332931242,-0.170451565532071,2.52631578947368,38134,19.0,6,40365,460.0,252.0
22,60625,397583.89105583896,492926.6149,95342.72384416132,1.5347474007352502,0.193880515936683,0.893161691322309,3.53333333333333,79157,15.0,9,121486,5052.0,2546.0
23,60626,422896.319407475,338826.2614,-84070.05800747519,2.6569974046715896,0.19746456378518698,0.5270513076462371,2.85714285714286,50090,7.0,10,133089,3402.0,2135.0
24,60628,374014.088908286,96303.24332000001,-277710.845588286,2.4476401721579997,0.134054085814592,0.33197702601465995,2.0,68077,25.0,11,166628,3024.0,1781.0
25,60629,328147.133645744,178233.6148,-149913.518845744,0.9443633583541841,0.12228940783986698,0.42917709202112897,2.80952380952381,115104,21.0,15,108700,4627.0,2732.0
26,60630,427684.855811834,323528.2345,-104156.62131183401,1.90520068717789,0.029395942874,0.6941190761275101,3.75,57627,4.0,8,109791,608.0,418.0
27,60631,319012.54143633397,372541.1379,53528.5964636665,0.5134924569728729,0.155464268007649,1.35278702457681,2.71428571428571,28238,7.0,2,14500,1560.0,1270.0
28,60632,449324.86681970104,185826.3681,-263498.498719701,2.8820635336213303,0.0914168521185146,0.628354496661867,3.0689655172413794,91668,29.0,18,264193,2804.0,1588.0
29,60633,269520.599254738,132926.9375,-136593.66175473802,0.6085667472887571,0.233830069439026,0.265272684715612,2.0,12817,2.0,1,7800,1029.0,658.0
30,60634,398496.592093293,280705.2332,-117791.35889329301,1.80827723419912,0.0632852743179526,0.7794827069308549,3.15384615384615,73382,13.0,12,132695,1585.0,903.0
31,60636,388778.98068636295,69101.4185,-319677.56218636304,3.33396685206406,0.21154867380306897,0.12018222979960302,1.35714285714286,35779,14.0,9,119286,2557.0,1605.0
32,60637,345772.80209004396,329168.5481,-16604.253990044,1.7027340412547298,0.285752064770739,0.280727450262419,2.4375,49158,16.0,8,83703,4592.0,2755.0
33,60638,404013.13878566603,234161.2574,-169851.881385666,2.4874796522702898,0.127541301562013,0.55588265853912,2.55555555555556,57746,9.0,5,143642,2556.0,1516.0
34,60639,497493.61945254396,245801.1899,-251692.429552544,4.13792109609693,0.0289432552571194,0.5742093536264979,2.5625,90211,16.0,29,373286,975.0,682.0
35,60640,442066.98092621396,569529.2439,127462.262973786,2.88954805628428,0.12236167421893598,1.1045194371571698,2.6666666666666696,67088,6.0,15,193854,2761.0,1812.0
36,60641,363046.256134361,336895.9524,-26150.3037343612,1.5203420061719701,0.121641516378358,0.883327199116673,2.6666666666666696,70642,12.0,10,107400,3175.0,2174.0
37,60642,554357.831913095,581600.1613,27242.3293869049,3.83857904449457,0.0877588681566537,3.01927414394095,3.14285714285714,19508,7.0,1,74883,632.0,417.0
38,60643,378125.92161977704,213050.0806,-165075.841019777,2.33771556417922,0.28499019937830394,0.665254321183202,2.19047619047619,50507,21.0,7,118071,4944.0,2961.0
39,60644,314589.764504079,158805.9422,-155783.82230407902,1.14263269211401,0.0234464699365495,0.18934434484842397,2.2666666666666697,49645,15.0,6,56726,432.0,222.0
40,60645,395312.05958464,355284.0928,-40027.9667846397,1.58044599096136,0.222125564914812,0.44344486643610403,3.6666666666666696,47131,6.0,4,74488,3509.0,2124.0
41,60646,435287.126112959,406631.2073,-28655.918812959,1.8152546077074398,0.160158811102207,0.994390617032127,4.0,27454,4.0,5,49836,1592.0,1122.0
42,60647,422136.13994682604,539363.0636,117226.923653174,2.4020097675151404,0.0135484887358495,1.3030855445277199,2.64285714285714,88866,14.0,15,213457,453.0,219.0
43,60649,334552.488775263,152823.6724,-181728.816375263,1.45114777301075,0.30812950594895805,0.506435490291477,2.4,45218,10.0,6,65618,4493.0,2572.0
44,60651,308614.661434935,199260.5497,-109354.111734935,0.7305979695267092,0.19394744085882198,0.17649249502096898,2.8,61759,15.0,7,45121,3976.0,2311.0
45,60652,406390.70549003204,184676.4797,-221714.22579003198,2.40353474599796,0.17069954659017303,0.793467197187008,2.6363636363636402,43228,11.0,2,103900,2492.0,1646.0
46,60653,334440.636831187,345273.5543,10832.917468813,1.4978257368336299,0.202770172330488,0.708648735706233,2.15384615384615,31045,13.0,3,46500,2117.0,1247.0
47,60654,294296.499125213,957056.6364,662760.137274786,0.0,0.35162742382271506,7.17913204062789,0.0,17328,0.0,0,0,2155.0,1525.0
48,60655,375808.43425929797,246231.6881,-129576.74615929801,1.50868097839324,0.14070491632163099,0.497547058209526,3.2,28741,5.0,3,43361,1386.0,940.0
49,60656,371679.98617969203,313401.4047,-58278.5814796925,1.68649287402421,0.0901310606603166,0.6517224092243791,2.75,27926,4.0,2,47097,819.0,454.0
50,60657,383695.158482539,883022.5385,499327.380017461,0.9589900862991229,0.054860566293417,1.58476570857999,3.5,70105,6.0,5,67230,1379.0,710.0
51,60659,409604.906241981,370432.701,-39172.2052419814,1.7122964482626,0.08834465957174001,1.33863315809719,3.28571428571429,38995,7.0,14,66771,1191.0,718.0
52,60660,378347.172057428,477730.4138,99383.2417425724,1.41916124367317,0.0353820197637985,0.6941431670281999,3.2,41490,5.0,7,58881,503.0,316.0
53,60661,459327.091047438,411946.3333,-47380.757747437696,4.81269399550466,2.32901637589639,5.52285133254843,0.0,9343,0.0,3,44965,7194.0,3343.0
54,60706,158418.015765716,276852.0,118433.984234284,0.0,0.0,0.13557024233180803,0.0,23604,0.0,0,0,0.0,0.0
55,60707,283969.28241507104,274370.7606,-9598.52181507075,0.34933603369312605,0.10934155715633699,0.455685714943269,2.5,43451,2.0,2,15179,1688.0,1162.0
56,60712,159881.683982046,308127.6667,148245.982717954,0.0,0.0,0.205745034422727,0.0,12637,0.0,0,0,0.0,0.0
57,60803,158339.349115145,118604.0,-39735.3491151446,0.0,0.0,0.13179861172129,0.0,22762,0.0,0,0,0.0,0.0
58,60804,156906.809771984,164400.0,7493.19022801558,0.0,0.0,0.0631162768541895,0.0,83972,0.0,0,0,0.0,0.0
59,60805,156746.251768266,154171.5714,-2574.68036826621,0.0,0.0,0.0554184089878583,0.0,19849,0.0,0,0,0.0,0.0
60,60827,242090.10816773897,41745.52381,-200344.584357739,0.34648697339246104,0.232677383592018,0.0277161862527716,1.8,28864,5.0,1,10001,2333.0,1697.0
